Fecha,super
2000-01-01,308156.82
2000-02-01,307766.31
2000-03-01,331910.29
2000-04-01,315648.08
2000-05-01,319667.97
2000-06-01,300347.7
2000-07-01,308305.93
2000-08-01,323011.86
2000-09-01,326455.72
2000-10-01,323843.63
2000-11-01,320788.08
2000-12-01,366987.56
2001-01-01,300242.7816666665
2001-02-01,301483.401666666
2001-03-01,355572.831666666
2001-04-01,355826.761666666
2001-05-01,336040.041666666
2001-06-01,308804.7016666665
2001-07-01,350501.971666667
2001-08-01,348414.6516666665
2001-09-01,324393.9616666665
2001-10-01,366261.631666666
2001-11-01,351890.631666666
2001-12-01,403561.631666666
2002-01-01,368935.52583333326
2002-02-01,348917.78583333327
2002-03-01,385044.96583333326
2002-04-01,379741.9758333333
2002-05-01,375054.63583333325
2002-06-01,371138.58583333326
2002-07-01,399944.64583333326
2002-08-01,392355.6158333333
2002-09-01,347191.43583333323
2002-10-01,381595.19583333324
2002-11-01,384334.21583333326
2002-12-01,400645.4158333333
2003-01-01,376516.58
2003-02-01,355760.81
2003-03-01,361880.87
2003-04-01,377395.17
2003-05-01,390624.27
2003-06-01,346941.84
2003-07-01,377178.84
2003-08-01,355682.72
2003-09-01,348659.02
2003-10-01,392041.78
2003-11-01,330640.23
2003-12-01,391327.66
2004-01-01,381547.72
2004-02-01,339576.46
2004-03-01,379687.46
2004-04-01,357595.81
2004-05-01,322596.73
2004-06-01,318811.5
2004-07-01,346413.66
2004-08-01,390304.28
2004-09-01,364689.84
2004-10-01,380441.55
2004-11-01,378498.6
2004-12-01,429109.1
2005-01-01,321382.14
2005-02-01,375768.83
2005-03-01,410241.928
2005-04-01,389737.16
2005-05-01,343762.52
2005-06-01,351906.82
2005-07-01,389172.65
2005-08-01,396871.12
2005-09-01,378887.62
2005-10-01,328052.56
2005-11-01,360869.14
2005-12-01,448688.52
2006-01-01,382078.88
2006-02-01,367944.25
2006-03-01,427567.58
2006-04-01,392050.29
2006-05-01,379832.55
2006-06-01,364359.35
2006-07-01,392252.91
2006-08-01,394585.28
2006-09-01,382724.97
2006-10-01,400793.81
2006-11-01,401922.57
2006-12-01,454373.13
2007-01-01,418412.86
2007-02-01,401425.14
2007-03-01,454731.09
2007-04-01,403732.56
2007-05-01,426414.71
2007-06-01,390991.36
2007-07-01,416497.41
2007-08-01,411088.53
2007-09-01,390568.99
2007-10-01,419001.81
2007-11-01,417490.77
2007-12-01,438542.79333333333
2008-01-01,403266.74
2008-02-01,407735.55
2008-03-01,424157.28
2008-04-01,399193.53
2008-05-01,390882.63
2008-06-01,337464.32
2008-07-01,374847.05
2008-08-01,378363.76
2008-09-01,367962.73
2008-10-01,386430.4
2008-11-01,375438.69
2008-12-01,463343.73
2009-01-01,424264.5
2009-02-01,424438.71
2009-03-01,434248.69
2009-04-01,454265.4
2009-05-01,432401.49
2009-06-01,393140.38
2009-07-01,435256.08999999997
2009-08-01,409182.96
2009-09-01,420238.71
2009-10-01,421753.29000000004
2009-11-01,391754.81
2009-12-01,449842.29000000004
2010-01-01,389068.41
2010-02-01,391195.69000000006
2010-03-01,465664.59
2010-04-01,387063.18
